Year,Month,Day,latitude,longitude,Nationality,ShipName,ShipType,VoyageFrom,VoyageTo
1763,11,28,32.32,-16.15,BRITISH,ACTIVE,,MADEIRA,BARBADOS
1763,11,29,31.95,-15.5,BRITISH,ACTIVE,,MADEIRA,BARBADOS
1763,11,30,31.2,-16.27,BRITISH,ACTIVE,,MADEIRA,BARBADOS
1763,12,1,28.83,-18.17,BRITISH,ACTIVE,,MADEIRA,BARBADOS
1763,12,2,27.33,-19.35,BRITISH,ACTIVE,,MADEIRA,BARBADOS
1763,12,3,25.43,-21.39,BRITISH,ACTIVE,,MADEIRA,BARBADOS
1763,12,4,23.63,-23.12,BRITISH,ACTIVE,,MADEIRA,BARBADOS
1763,12,5,21.77,-25.24,BRITISH,ACTIVE,,MADEIRA,BARBADOS
1763,12,6,19.75,-27.1,BRITISH,ACTIVE,,MADEIRA,BARBADOS
1763,12,7,18.25,-29.75,BRITISH,ACTIVE,,MADEIRA,BARBADOS
1763,12,8,17.77,-30.89,BRITISH,ACTIVE,,MADEIRA,BARBADOS
1763,12,9,17.23,-31.67,BRITISH,ACTIVE,,MADEIRA,BARBADOS
1763,12,10,17.05,-31.89,BRITISH,ACTIVE,,MADEIRA,BARBADOS
1763,12,11,16.2,-33.35,BRITISH,ACTIVE,,MADEIRA,BARBADOS
1763,12,12,14.92,-35.97,BRITISH,ACTIVE,,MADEIRA,BARBADOS
1763,12,13,13.35,-39,BRITISH,ACTIVE,,MADEIRA,BARBADOS
1767,4,1,21.18,-72.25,BRITISH,ACTIVE,,JAMAICA,SPITHEAD
1767,4,2,22.18,-72.37,BRITISH,ACTIVE,,JAMAICA,SPITHEAD
1767,4,3,22.48,-71.92,BRITISH,ACTIVE,,JAMAICA,SPITHEAD
1767,4,4,23.15,-72.13,BRITISH,ACTIVE,,JAMAICA,SPITHEAD
1767,4,5,24.97,-72.03,BRITISH,ACTIVE,,JAMAICA,SPITHEAD
1767,4,6,26.7,-71.02,BRITISH,ACTIVE,,JAMAICA,SPITHEAD
1767,4,7,28.47,-70.22,BRITISH,ACTIVE,,JAMAICA,SPITHEAD
1767,4,8,29.63,-68.68,BRITISH,ACTIVE,,JAMAICA,SPITHEAD
1767,4,9,30.33,-65.98,BRITISH,ACTIVE,,JAMAICA,SPITHEAD
1767,4,10,31.9,-63.05,BRITISH,ACTIVE,,JAMAICA,SPITHEAD
1767,4,11,32.08,-59.18,BRITISH,ACTIVE,,JAMAICA,SPITHEAD
1767,4,12,32.32,-57.48,BRITISH,ACTIVE,,JAMAICA,SPITHEAD
1774,5,5,41.65,-66.7,BRITISH,ACTIVE,6TH RATE FRIGAT,BOSTON,PLYMOUTH
1774,5,6,41.28,-63.93,BRITISH,ACTIVE,6TH RATE FRIGAT,BOSTON,PLYMOUTH
1774,5,7,40.02,-61.9,BRITISH,ACTIVE,6TH RATE FRIGAT,BOSTON,PLYMOUTH
1774,5,8,40.77,-60.03,BRITISH,ACTIVE,6TH RATE FRIGAT,BOSTON,PLYMOUTH
1774,5,9,41.03,-57.08,BRITISH,ACTIVE,6TH RATE FRIGAT,BOSTON,PLYMOUTH
1774,5,10,42.35,-53.38,BRITISH,ACTIVE,6TH RATE FRIGAT,BOSTON,PLYMOUTH
1774,5,11,43.43,-49.33,BRITISH,ACTIVE,6TH RATE FRIGAT,BOSTON,PLYMOUTH
1774,5,12,44.47,-45.06,BRITISH,ACTIVE,6TH RATE FRIGAT,BOSTON,PLYMOUTH
1774,5,13,45.73,-42.5,BRITISH,ACTIVE,6TH RATE FRIGAT,BOSTON,PLYMOUTH
1774,5,14,47.15,-40.5,BRITISH,ACTIVE,6TH RATE FRIGAT,BOSTON,PLYMOUTH
1774,5,15,48.42,-38.53,BRITISH,ACTIVE,6TH RATE FRIGAT,BOSTON,PLYMOUTH
1774,5,16,49.07,-38.25,BRITISH,ACTIVE,6TH RATE FRIGAT,BOSTON,PLYMOUTH
1774,5,17,49.98,-36.73,BRITISH,ACTIVE,6TH RATE FRIGAT,BOSTON,PLYMOUTH
1774,5,18,51.28,-34.1,BRITISH,ACTIVE,6TH RATE FRIGAT,BOSTON,PLYMOUTH
1774,5,19,50.12,-33.11,BRITISH,ACTIVE,6TH RATE FRIGAT,BOSTON,PLYMOUTH
1774,5,20,49.65,-31.6,BRITISH,ACTIVE,6TH RATE FRIGAT,BOSTON,PLYMOUTH
1774,5,21,49.07,-27.2,BRITISH,ACTIVE,6TH RATE FRIGAT,BOSTON,PLYMOUTH
1774,5,22,48.8,-23.18,BRITISH,ACTIVE,6TH RATE FRIGAT,BOSTON,PLYMOUTH
1774,5,23,48.9,-19.26,BRITISH,ACTIVE,6TH RATE FRIGAT,BOSTON,PLYMOUTH
