year,month,day,hour,minute,WDIR,WSPD,GST,PRES,WTMP,WVHT
2019,01,01,00,40,15,7.7,9.9,1017.5,12.6,1.99
2019,01,01,03,40,357,8.4,10.7,1019.1,12.7,1.85
2019,01,01,06,40,6,5.8,7.2,1019.9,12.6,1.68
2019,01,01,09,40,13,7.5,10.1,1020.6,12.5,1.71
2019,01,01,12,40,347,3.8,5.1,1021.5,12.5,1.73
2019,01,01,15,40,57,6.6,9.2,1023.8,12.5,1.68
2019,01,01,18,40,71,5.5,7.3,1025.1,12.6,1.73
2019,01,01,21,40,206,0.9,1.7,1023.6,12.7,1.47
2019,01,02,00,40,280,3.4,5.0,1023.7,12.7,1.31
2019,01,02,03,40,317,5.1,6.2,1024.3,12.6,1.33
2019,01,02,06,40,340,1.8,2.7,1023.9,12.6,1.30
2019,01,02,09,40,129,0.1,0.7,1024.5,12.5,1.29
2019,01,02,20,40,96,4.8,6.5,1024.0,12.6,1.31
2019,01,02,23,40,80,1.3,2.4,1023.5,12.7,1.22
2019,01,03,02,40,325,3.1,4.1,1024.5,12.5,1.41
2019,01,03,05,40,342,2.7,3.5,1025.3,12.3,1.36
2019,01,03,08,40,41,2.4,3.1,1024.7,12.6,1.34
2019,01,03,11,40,81,6.0,7.8,1024.1,12.5,1.19
2019,01,03,14,40,81,7.8,9.6,1023.7,12.4,1.51
2019,01,03,17,40,72,7.7,9.5,1024.9,12.4,1.51
2019,01,03,20,40,68,5.2,6.8,1022.7,12.6,1.48
2019,01,03,23,40,61,4.1,5.4,1021.0,12.6,1.41
2019,01,04,02,40,83,5.7,7.4,1020.4,12.7,1.52
2019,01,04,05,40,77,6.3,8.0,1020.0,12.6,1.59
2019,01,04,08,40,88,6.8,8.1,1018.9,12.5,1.52
2019,01,04,11,40,92,7.8,9.8,1017.4,12.4,1.71
2019,01,04,15,40,89,6.4,8.4,1016.4,12.4,1.72
2019,01,04,18,40,93,6.1,8.1,1016.5,12.5,1.73
2019,01,04,21,40,150,5.9,8.0,1014.7,12.5,1.90
2019,01,05,00,40,153,7.4,9.6,1013.1,12.4,3.03
2019,01,05,03,40,156,9.0,11.8,1012.5,12.3,3.70
2019,01,05,06,40,151,8.7,11.6,1010.7,12.4,3.12
2019,01,05,09,40,152,11.1,14.1,1008.8,12.3,2.98
2019,01,05,12,40,145,10.6,13.8,1006.5,12.4,2.82
2019,01,05,15,40,141,14.2,18.5,1003.6,12.5,3.40
2019,01,05,18,40,159,15.0,19.6,1004.0,12.5,4.09
2019,01,05,21,40,206,11.0,13.7,1003.8,12.5,4.57
2019,01,06,00,40,243,10.6,14.2,1007.3,12.5,4.16
2019,01,06,03,40,254,8.5,11.5,1010.6,12.4,3.69
2019,01,06,06,40,234,4.5,6.6,1012.6,12.5,3.74
2019,01,06,09,40,206,3.9,5.6,1013.1,12.6,3.60
2019,01,06,12,40,178,6.4,8.5,1012.6,12.6,3.30
2019,01,06,15,40,174,11.1,14.8,1012.2,12.5,3.34
