FUEL_CONSUMP,CARGO_CAPACITY,ENGINE_POWER,HAS_DUAL_PROP,NOX_EMISSIONS,CREW_SIZE,AGE_YEARS,PORT_DISTANCE,NAV_EQUIP_LEVEL,REG_FEES,MAINT_CREW_RATIO,PAINT_COVERAGE,RUST_AREA_PERCENT,MAINT_COST
34.97,38.2,35.38,0,4.35,21.0,17.9,51.5,7,21.74,0.13,81.9,6.5,178.59
28.62,32.7,21.55,0,6.13,30.0,15.7,185.4,3,22.49,0.24,88.1,13.1,156.22
36.48,51.0,33.68,1,5.29,29.0,26.9,112.0,6,13.84,0.1,82.2,2.94,186.75
45.23,33.4,25.99,1,5.48,24.0,13.8,164.4,4,8.37,0.17,83.6,11.41,193.96
27.66,55.4,21.74,0,6.33,32.0,13.2,226.8,3,21.83,0.22,75.0,14.23,181.52
27.66,49.0,22.58,0,4.21,23.0,10.2,117.2,9,14.74,0.14,92.9,13.37,168.76
45.79,45.2,23.4,0,5.99,23.0,18.4,131.1,10,14.21,0.23,74.4,21.12,218.67
37.67,31.8,27.12,1,4.42,8.0,18.1,163.8,2,10.54,0.16,64.0,30.18,251.14
25.31,38.5,27.61,1,5.51,27.0,8.3,85.1,1,8.75,0.14,82.9,16.7,166.9
35.43,65.1,22.13,1,4.03,18.0,13.2,112.1,2,17.82,0.26,94.2,20.25,204.72
25.37,60.0,24.88,1,3.63,22.0,8.4,151.2,7,18.35,0.21,85.8,29.8,217.5
25.34,30.4,35.71,0,5.14,20.0,8.0,135.0,10,16.01,0.23,73.4,4.96,123.94
32.42,52.0,33.64,0,2.17,23.0,-2.3,180.4,1,11.18,0.25,86.0,12.91,135.76
10.87,65.0,27.18,0,4.56,27.0,12.7,288.3,6,9.68,0.07,89.4,8.65,113.07
12.75,16.6,25.19,1,2.59,25.0,-2.0,155.0,7,7.84,0.23,85.9,17.9,135.12
24.38,60.9,25.6,0,6.17,29.0,10.4,107.9,9,12.2,0.16,82.4,13.9,153.44
19.87,36.7,28.07,1,6.58,31.0,8.9,220.9,8,9.97,0.17,89.9,6.27,150.84
33.14,61.4,19.89,1,3.7,23.0,25.5,70.6,6,6.45,0.22,67.6,12.08,183.8
20.92,34.7,23.71,0,5.64,23.0,4.9,80.6,3,18.26,0.18,76.1,19.33,142.67
15.88,13.9,16.66,0,6.35,30.0,7.4,120.2,8,8.4,0.23,71.9,2.87,83.9
44.66,17.4,27.0,0,6.35,30.0,11.2,135.9,7,19.92,0.2,98.5,6.42,177.14
27.74,51.0,28.24,1,5.32,29.0,9.2,119.0,3,16.97,0.21,92.1,5.37,151.63
30.68,55.2,22.58,1,6.1,20.0,28.7,148.4,9,16.47,0.18,86.9,14.28,194.98
15.75,31.9,32.87,0,4.03,27.0,3.6,163.7,2,23.33,0.15,70.5,20.68,174.82
24.56,62.8,18.87,0,5.12,26.0,11.2,203.4,3,8.57,0.16,92.4,-2.07,105.6
31.11,16.8,17.68,1,4.3,30.0,18.3,154.6,2,19.37,0.19,98.9,12.66,175.42
18.49,48.7,26.12,0,3.9,22.0,23.8,121.9,1,13.51,0.29,90.7,5.53,167.47
33.76,25.8,30.24,1,5.05,17.0,11.2,200.7,4,27.86,0.27,84.6,19.04,202.48
23.99,37.0,33.42,1,5.52,28.0,-4.2,109.1,5,13.1,0.17,91.3,10.34,120.81
27.08,50.9,22.71,0,6.75,12.0,13.5,68.4,6,12.29,0.2,87.7,12.91,136.6
23.98,32.8,30.39,0,5.4,21.0,28.5,210.3,5,17.13,0.19,94.3,11.99,205.24
48.52,42.3,24.81,0,5.96,20.0,17.8,207.1,1,13.96,0.21,94.0,19.87,221.95
29.87,70.1,24.14,0,5.98,20.0,17.4,110.4,3,11.21,0.21,82.8,26.34,204.01
19.42,38.5,29.42,1,9.03,21.0,4.4,130.0,1,10.15,0.23,78.4,4.06,96.32
38.23,66.7,28.26,1,2.28,31.0,3.3,104.2,5,22.29,0.05,81.0,5.33,152.74
17.79,27.4,17.12,1,3.97,29.0,15.2,166.3,5,9.18,0.22,90.4,14.25,172.87
32.09,60.6,32.38,0,7.21,24.0,0.7,236.6,6,16.12,0.18,81.6,6.29,113.94
10.4,78.8,31.9,1,4.47,31.0,22.8,185.1,8,20.28,0.16,77.5,18.54,189.56
16.72,0.6,21.87,0,6.33,20.0,6.5,201.8,10,20.52,0.24,85.0,19.66,171.75
31.97,34.1,26.98,0,5.35,19.0,14.8,191.0,1,11.99,0.27,96.1,8.17,168.42
37.38,61.5,27.47,0,8.16,29.0,-3.9,150.0,4,13.97,0.23,86.4,6.66,123.98
31.71,45.9,26.3,0,3.33,28.0,11.1,204.2,10,13.0,0.17,82.2,10.08,160.6
28.84,57.4,22.25,0,6.83,23.0,3.1,187.3,1,7.32,0.15,88.2,12.73,137.8
26.99,37.9,21.64,0,7.62,19.0,-8.2,222.0,9,17.69,0.05,85.8,14.2,121.18
15.21,51.7,24.87,1,3.48,32.0,20.4,127.0,7,15.19,0.21,65.7,-3.77,136.18
22.8,46.9,30.86,0,6.17,16.0,31.4,63.1,7,22.2,0.23,92.0,5.23,183.32
25.39,73.4,27.72,1,3.55,22.0,26.3,202.3,5,10.88,0.19,89.1,9.17,189.69
40.57,55.1,23.15,1,5.05,26.0,21.8,167.5,7,20.44,0.25,85.2,6.42,191.75
33.44,56.8,28.86,0,4.62,34.0,10.9,135.2,2,20.8,0.13,95.6,-8.05,99.92
