Corrosion_Rate,Coastal_Operation,Shipyard_Proximity,Channel_Access,NOx_Emissions,Cabin_Area,Vessel_Age,Port_Distance,Navigation_Aids,Maintenance_Cost,Crew_Ratio,Hull_Strength,Downtime_Percentage,Fuel_Consumption,Vessel_Type
0.00063,18.0,23.1,0,0.538,6.575,65.2,40.9,1,296.0,15.3,396.9,4.98,2.4,Aged
0.00273,0.0,70.7,0,0.469,6.421,78.9,49.7,2,242.0,17.8,396.9,9.14,2.16,Aged
0.00273,0.0,70.7,0,0.469,7.185,61.1,49.7,2,242.0,17.8,392.83,4.03,3.47,Aged
0.00324,0.0,21.8,0,0.458,6.998,45.8,60.6,3,222.0,18.7,394.63,2.94,3.34,Aged
0.0069,0.0,21.8,0,0.458,7.147,54.2,60.6,3,222.0,18.7,396.9,5.33,3.62,Aged
0.00298,0.0,21.8,0,0.458,6.43,58.7,60.6,3,222.0,18.7,394.12,5.21,2.87,Aged
0.00883,12.5,78.7,0,0.524,6.012,66.6,55.6,5,311.0,15.2,395.6,12.43,2.29,Aged
0.01446,12.5,78.7,0,0.524,6.172,96.1,59.5,5,311.0,15.2,396.9,19.15,2.71,Aged
0.02112,12.5,78.7,0,0.524,5.631,100.0,60.8,5,311.0,15.2,386.63,29.93,1.65,Aged
0.017,12.5,78.7,0,0.524,6.004,85.9,65.9,5,311.0,15.2,386.71,17.1,1.89,Aged
0.02249,12.5,78.7,0,0.524,6.377,94.3,63.5,5,311.0,15.2,392.52,20.45,1.5,Aged
0.01175,12.5,78.7,0,0.524,6.009,82.9,62.3,5,311.0,15.2,396.9,13.27,1.89,Aged
0.00938,12.5,78.7,0,0.524,5.889,39.0,54.5,5,311.0,15.2,390.5,15.71,2.17,Aged
0.06298,0.0,81.4,0,0.538,5.949,61.8,47.1,4,307.0,21.0,396.9,8.26,2.04,Aged
0.0638,0.0,81.4,0,0.538,6.096,84.5,44.6,4,307.0,21.0,380.02,10.26,1.82,Aged
0.06274,0.0,81.4,0,0.538,5.834,56.5,45.0,4,307.0,21.0,395.62,8.47,1.99,Aged
0.10539,0.0,81.4,0,0.538,5.935,29.3,45.0,4,307.0,21.0,386.85,6.58,2.31,Aged
0.07842,0.0,81.4,0,0.538,5.99,81.7,42.6,4,307.0,21.0,386.75,14.67,1.75,Aged
0.08027,0.0,81.4,0,0.538,5.456,36.6,38.0,4,307.0,21.0,288.99,11.69,2.02,Aged
0.07258,0.0,81.4,0,0.538,5.727,69.5,38.0,4,307.0,21.0,390.95,11.28,1.82,Aged
0.12518,0.0,81.4,0,0.538,5.57,98.1,38.0,4,307.0,21.0,376.57,21.02,1.36,Aged
0.0852,0.0,81.4,0,0.538,5.965,89.2,40.1,4,307.0,21.0,392.53,13.83,1.96,Aged
0.12325,0.0,81.4,0,0.538,6.142,91.7,39.8,4,307.0,21.0,396.9,18.72,1.52,Aged
0.09884,0.0,81.4,0,0.538,5.813,100.0,41.0,4,307.0,21.0,394.54,19.88,1.45,Aged
0.07503,0.0,81.4,0,0.538,5.924,94.1,44.0,4,307.0,21.0,394.33,16.3,1.56,Aged
0.08405,0.0,81.4,0,0.538,5.599,85.7,44.5,4,307.0,21.0,303.42,16.51,1.39,Aged
0.06719,0.0,81.4,0,0.538,5.813,90.3,46.8,4,307.0,21.0,376.88,14.81,1.66,Aged
0.09558,0.0,81.4,0,0.538,6.047,88.8,44.5,4,307.0,21.0,306.38,17.28,1.48,Aged
0.0773,0.0,81.4,0,0.538,6.495,94.4,44.5,4,307.0,21.0,387.94,12.8,1.84,Aged
0.10025,0.0,81.4,0,0.538,6.674,87.3,42.4,4,307.0,21.0,380.23,11.98,2.1,Aged
0.11308,0.0,81.4,0,0.538,5.713,94.1,42.3,4,307.0,21.0,360.17,22.6,1.27,Aged
0.13547,0.0,81.4,0,0.538,6.072,100.0,41.8,4,307.0,21.0,376.73,13.04,1.45,Aged
0.1388,0.0,81.4,0,0.538,5.95,82.0,39.9,4,307.0,21.0,232.6,27.71,1.32,Aged
0.11517,0.0,81.4,0,0.538,5.701,95.0,37.9,4,307.0,21.0,358.77,18.35,1.31,Aged
0.16128,0.0,81.4,0,0.538,6.096,96.9,37.6,4,307.0,21.0,248.31,20.34,1.35,Aged
0.00642,0.0,59.6,0,0.499,5.933,68.2,33.6,5,279.0,19.2,396.9,9.68,1.89,Aged
0.00974,0.0,59.6,0,0.499,5.841,61.4,33.8,5,279.0,19.2,377.56,11.41,2.0,Aged
0.00801,0.0,59.6,0,0.499,5.85,41.5,39.3,5,279.0,19.2,396.9,8.77,2.1,Aged
